OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|1|1065|828|828|824|01.10.2023 01:50:00
102|9|8454|6324|6151|6099|
103|7|4558|3471|3470|3445|
104|4|3596|2718|2716|2681|
105|3|2705|1913|1912|1892|
106|14|12214|8654|8651|8554|
107|4|2554|1979|1979|1969|
108|9|4736|3111|3106|3080|
201|45|25664|15476|15457|15258|
202|13|8609|5677|5674|5605|
203|13|6635|4915|4908|4869|
204|10|4985|3553|3552|3519|
205|9|5582|4020|4012|3969|
206|12|6668|4399|4394|4325|
207|15|9937|6352|6342|6261|
301|32|8852|6781|6781|6698|
302|20|9441|7120|7116|7023|
303|12|4656|3336|3330|3297|
304|21|11062|7800|7797|7723|
305|23|12848|8808|8802|8713|
306|25|8996|6812|6810|6697|
307|54|32098|22917|22908|22657|
308|20|9149|6938|6929|6829|
309|34|19304|14450|14430|14243|
401|37|19457|10863|10857|10727|
402|92|40092|25182|25164|24815|
403|45|25534|18443|18435|18227|
404|28|15906|10324|10320|10203|
405|7|6136|3347|3343|3284|
406|31|12749|9332|9325|9205|
407|11|5656|4183|4181|4130|
501|14|8398|6319|6316|6244|
502|11|6962|4918|4915|4857|
503|11|5071|3914|3913|3881|
504|8|4753|3603|3601|3564|
505|34|13229|9632|9631|9516|
506|30|12915|9569|9561|9465|
507|7|4826|3594|3590|3536|
508|27|19281|13731|13723|13574|
509|20|5225|3610|3610|3557|
510|9|5334|3980|3980|3947|
511|45|26366|19997|19968|19776|
601|35|15948|11609|11599|11474|
602|11|3157|2095|2094|2072|
603|15|7094|4817|4811|4745|
604|14|3961|2857|2856|2812|
605|28|4643|3112|3109|3051|
606|64|27313|15047|15041|14850|
607|27|11363|7035|7026|6924|
608|33|7768|4257|4250|4156|
609|95|27609|14630|14620|14337|
610|42|9420|5757|5754|5656|
611|24|9374|6649|6646|6589|
612|19|8524|5861|5858|5777|
613|24|10688|7635|7632|7543|
701|84|30995|21536|21522|21288|
702|63|26345|17318|17311|17122|
703|37|22866|14462|14442|14232|
704|25|5292|3913|3913|3855|
705|24|4796|3064|3060|3018|
706|23|17940|11420|11417|11267|
707|64|33566|23748|23728|23396|
708|31|13343|9364|9360|9240|
709|25|7293|4685|4684|4624|
710|37|15774|10734|10728|10635|
711|35|8477|5606|5605|5537|
712|57|11776|8088|8087|7992|
713|45|17934|12166|12162|11980|
801|9|3270|2175|2174|2137|
802|10|7785|4411|4408|4366|
803|8|7070|4763|4759|4711|
804|4|3410|2198|2197|2180|
805|14|13013|8082|8062|7987|
806|78|34153|22262|22241|21868|
807|56|26581|14970|14963|14771|
808|52|17691|10109|10098|9897|
809|32|7696|5039|5035|4965|
810|18|12217|7145|7142|7040|
811|71|34517|19785|19774|19457|
