OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|1|1065|828|828|824|01.10.2023 02:00:02
102|13|11652|8674|8498|8428|
103|10|7971|5223|5222|5183|
104|7|6197|4663|4661|4616|
105|8|7225|5164|5160|5101|
106|17|15124|10671|10666|10543|
107|7|5708|4392|4389|4366|
108|9|4736|3111|3106|3080|
201|53|31295|19058|19038|18775|
202|15|10122|6716|6712|6630|
203|13|6635|4915|4908|4869|
204|12|5810|4160|4159|4124|
205|10|6096|4391|4383|4339|
206|14|8531|5682|5674|5597|
207|16|10610|6841|6831|6737|
301|34|9657|7419|7419|7334|
302|20|9441|7120|7116|7023|
303|13|5076|3624|3618|3580|
304|28|16212|11571|11566|11457|
305|27|15675|10872|10866|10757|
306|25|8996|6812|6810|6697|
307|61|37321|26568|26555|26279|
308|22|10717|8150|8135|8024|
309|34|19304|14450|14430|14243|
401|37|19457|10863|10857|10727|
402|101|45187|28572|28549|28165|
403|53|30692|22289|22277|22030|
404|32|19165|12640|12632|12495|
405|7|6136|3347|3343|3284|
406|35|15002|10959|10951|10823|
407|13|6415|4777|4775|4721|
501|14|8398|6319|6316|6244|
502|12|8086|5684|5680|5607|
503|11|5071|3914|3913|3881|
504|9|5510|4215|4213|4168|
505|38|16340|11947|11945|11800|
506|35|16215|11983|11974|11814|
507|11|8307|6205|6189|6108|
508|30|21092|15062|15053|14894|
509|21|5682|3966|3966|3905|
510|9|5334|3980|3980|3947|
511|55|34015|25702|25640|25391|
601|40|19233|13986|13976|13833|
602|11|3157|2095|2094|2072|
603|16|7270|4949|4943|4877|
604|16|5343|3912|3910|3856|
605|28|4643|3112|3109|3051|
606|67|29927|16424|16417|16208|
607|27|11363|7035|7026|6924|
608|35|8412|4632|4625|4523|
609|96|27735|14694|14684|14400|
610|45|10195|6286|6283|6179|
611|27|11247|7918|7915|7854|
612|20|9221|6375|6372|6283|
613|24|10688|7635|7632|7543|
701|89|34871|24156|24140|23871|
702|68|30457|20107|20096|19875|
703|38|23589|14945|14925|14709|
704|29|6932|5076|5075|5005|
705|26|5944|3774|3770|3719|
706|27|21420|13875|13870|13683|
707|71|40347|28506|28468|28082|
708|35|16776|11762|11754|11600|
709|33|12943|8233|8232|8122|
710|42|19949|13617|13609|13475|
711|38|9151|6096|6094|6020|
712|62|14325|9638|9620|9510|
713|49|22305|15035|15027|14806|
801|9|3270|2175|2174|2137|
802|12|9499|5583|5579|5525|
803|8|7070|4763|4759|4711|
804|5|4795|2755|2752|2734|
805|15|14136|8846|8824|8745|
806|85|39459|25628|25604|25185|
807|62|31237|17777|17769|17556|
808|56|19392|11152|11141|10925|
809|35|8579|5530|5526|5448|
810|18|12217|7145|7142|7040|
811|76|37103|21270|21258|20913|
