OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
102|3|3029|2158|2156|2141|01.10.2023 01:00:00
103|1|464|241|241|238|
105|1|742|533|532|528|
106|9|7693|5491|5488|5432|
107|3|1561|1236|1236|1231|
108|7|3207|2054|2051|2038|
201|36|19263|11727|11709|11556|
202|10|6391|4358|4355|4306|
203|7|2702|2002|1999|1985|
204|5|2075|1463|1462|1450|
205|6|3422|2468|2468|2441|
206|10|5004|3320|3316|3271|
207|11|7399|4387|4383|4334|
301|28|6884|5287|5287|5217|
302|15|6681|4960|4956|4906|
303|10|3285|2377|2376|2347|
304|20|10412|7337|7334|7264|
305|15|7822|5289|5284|5235|
306|20|6545|4973|4971|4893|
307|40|21408|15148|15140|14993|
308|15|6014|4584|4577|4516|
309|25|12531|9423|9409|9280|
401|26|10401|5678|5675|5615|
402|73|27657|17277|17266|17016|
403|26|13188|9555|9552|9452|
404|18|8414|5210|5208|5151|
405|2|964|661|660|646|
406|24|7652|5730|5727|5652|
407|9|4392|3303|3301|3260|
501|8|3508|2626|2624|2596|
502|7|3706|2545|2544|2509|
503|9|4184|3223|3222|3194|
504|5|2615|1986|1986|1974|
505|25|7544|5519|5519|5445|
506|24|9544|7041|7034|6970|
507|5|2992|2213|2209|2178|
508|19|12758|9369|9362|9264|
509|17|4570|3103|3103|3060|
510|7|3041|2351|2351|2332|
511|28|13887|10559|10552|10441|
601|23|7982|5668|5663|5616|
602|8|1585|1116|1115|1108|
603|13|6410|4311|4305|4243|
604|10|2776|1995|1994|1959|
605|28|4643|3112|3109|3051|
606|52|18507|10383|10378|10245|
607|20|6729|4196|4193|4132|
608|29|6221|3398|3394|3324|
609|86|21937|11746|11736|11507|
610|35|6713|4102|4100|4030|
611|19|6227|4405|4404|4366|
612|15|5946|4104|4101|4043|
613|19|8239|5965|5962|5897|
701|66|20811|14495|14487|14328|
702|54|20259|13107|13100|12953|
703|26|12073|7819|7808|7682|
704|20|3636|2669|2669|2629|
705|23|4387|2788|2784|2743|
706|12|9155|5254|5254|5173|
707|41|17324|12677|12665|12510|
708|22|7779|5435|5433|5356|
709|23|6494|4169|4168|4117|
710|33|12689|8570|8566|8491|
711|31|5772|3840|3839|3787|
712|53|9374|6482|6481|6403|
713|38|11545|7887|7883|7786|
801|5|1507|946|946|931|
802|6|4678|2772|2769|2747|
803|4|3515|2369|2366|2345|
804|3|2344|1539|1539|1527|
805|7|6191|3843|3843|3805|
806|57|20705|13708|13694|13495|
807|45|21448|11825|11818|11664|
808|39|11532|6489|6485|6341|
809|30|6838|4534|4530|4468|
810|14|8829|5006|5004|4924|
811|53|22442|12759|12751|12559|
