OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
102|3|3029|2158|2156|2141|01.10.2023 01:10:00
103|1|464|241|241|238|
105|1|742|533|532|528|
106|9|7693|5491|5488|5432|
107|4|2554|1979|1979|1969|
108|8|3830|2529|2525|2507|
201|42|23774|14313|14294|14108|
202|12|7519|5191|5188|5132|
203|8|3354|2449|2446|2429|
204|6|2941|2045|2044|2027|
205|6|3422|2468|2468|2441|
206|10|5004|3320|3316|3271|
207|11|7399|4387|4383|4334|
301|29|7508|5749|5749|5676|
302|16|7477|5589|5585|5520|
303|10|3285|2377|2376|2347|
304|21|11062|7800|7797|7723|
305|15|7822|5289|5284|5235|
306|21|6755|5138|5136|5055|
307|43|23544|16783|16775|16606|
308|17|6822|5231|5224|5151|
309|28|14870|11128|11111|10967|
401|27|10987|6022|6019|5958|
402|79|31471|19683|19670|19393|
403|27|13471|9752|9749|9647|
404|19|8688|5428|5426|5367|
405|3|1975|1257|1256|1238|
406|27|10293|7540|7536|7440|
407|9|4392|3303|3301|3260|
501|9|4691|3506|3504|3466|
502|8|4328|2980|2979|2933|
503|11|5071|3914|3913|3881|
504|6|3354|2558|2556|2536|
505|26|8774|6421|6421|6344|
506|26|10182|7543|7536|7467|
507|5|2992|2213|2209|2178|
508|20|13782|10054|10047|9941|
509|18|4737|3233|3233|3185|
510|8|4024|3050|3050|3024|
511|34|18125|13705|13681|13543|
601|34|15002|10875|10865|10751|
602|8|1585|1116|1115|1108|
603|13|6410|4311|4305|4243|
604|11|2910|2087|2086|2050|
605|28|4643|3112|3109|3051|
606|54|20042|11325|11320|11175|
607|22|7846|4909|4906|4823|
608|29|6221|3398|3394|3324|
609|87|22506|12116|12106|11876|
610|36|7383|4589|4587|4508|
611|22|7798|5562|5560|5513|
612|15|5946|4104|4101|4043|
613|22|10130|7210|7207|7120|
701|73|24666|17165|17157|16964|
702|56|21278|13860|13853|13699|
703|27|13542|8421|8410|8279|
704|21|4124|3025|3025|2979|
705|23|4387|2788|2784|2743|
706|15|11362|6765|6765|6667|
707|44|19528|13999|13985|13814|
708|23|8588|6008|6006|5921|
709|23|6494|4169|4168|4117|
710|33|13245|8938|8933|8858|
711|32|6167|4087|4086|4031|
712|54|9479|6551|6550|6472|
713|41|15144|10274|10270|10135|
801|7|2167|1368|1368|1345|
802|6|4678|2772|2769|2747|
803|4|3515|2369|2366|2345|
804|3|2344|1539|1539|1527|
805|8|7465|4439|4438|4394|
806|63|24489|16192|16176|15945|
807|48|22654|12584|12577|12414|
808|43|13238|7406|7395|7232|
809|31|7446|4867|4863|4796|
810|15|9655|5469|5466|5383|
811|56|24417|13998|13990|13785|
