OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|1|1065|828|828|824|01.10.2023 01:40:00
102|6|5885|4299|4295|4256|
103|4|2525|1867|1867|1854|
104|1|931|697|697|692|
105|2|1668|1121|1120|1110|
106|11|9666|6863|6860|6788|
107|4|2554|1979|1979|1969|
108|8|3830|2529|2525|2507|
201|42|23774|14313|14294|14108|
202|13|8609|5677|5674|5605|
203|13|6635|4915|4908|4869|
204|10|4985|3553|3552|3519|
205|9|5582|4020|4012|3969|
206|12|6668|4399|4394|4325|
207|14|8953|5604|5594|5525|
301|31|8586|6575|6575|6494|
302|17|8144|6066|6062|5984|
303|11|4245|3032|3026|2997|
304|21|11062|7800|7797|7723|
305|19|10667|7251|7246|7170|
306|25|8996|6812|6810|6697|
307|50|29172|20882|20873|20655|
308|19|8484|6438|6430|6339|
309|33|18458|13769|13751|13568|
401|34|17010|9379|9375|9255|
402|81|32643|20560|20545|20260|
403|37|20461|14782|14776|14621|
404|26|14553|9568|9564|9464|
405|4|2737|1815|1812|1790|
406|27|10293|7540|7536|7440|
407|9|4392|3303|3301|3260|
501|11|5831|4400|4398|4350|
502|9|5226|3638|3637|3583|
503|11|5071|3914|3913|3881|
504|7|4285|3238|3236|3204|
505|29|10405|7663|7662|7572|
506|27|10803|8022|8015|7943|
507|6|4092|3037|3033|2985|
508|24|16747|12292|12285|12157|
509|19|4918|3376|3376|3325|
510|9|5334|3980|3980|3947|
511|37|19979|15089|15064|14911|
601|34|15002|10875|10865|10751|
602|10|3035|2004|2003|1982|
603|14|6485|4376|4370|4308|
604|12|3265|2344|2343|2304|
605|28|4643|3112|3109|3051|
606|58|22683|12620|12615|12453|
607|22|7846|4909|4906|4823|
608|30|6484|3544|3540|3467|
609|91|25258|13164|13154|12890|
610|39|7813|4878|4876|4792|
611|22|7798|5562|5560|5513|
612|16|6770|4676|4673|4611|
613|22|10130|7210|7207|7120|
701|74|25093|17481|17469|17269|
702|59|23011|15044|15037|14872|
703|32|18448|11529|11511|11351|
704|25|5292|3913|3913|3855|
705|24|4796|3064|3060|3018|
706|18|12889|7867|7867|7757|
707|56|27347|19333|19316|19081|
708|26|9942|6930|6927|6835|
709|25|7293|4685|4684|4624|
710|34|13971|9479|9473|9393|
711|32|6167|4087|4086|4031|
712|57|11776|8088|8087|7992|
713|45|17934|12166|12162|11980|
801|8|2737|1770|1769|1733|
802|8|5939|3328|3325|3292|
803|6|5335|3577|3574|3544|
804|3|2344|1539|1539|1527|
805|12|11104|6704|6686|6623|
806|72|29690|19701|19681|19390|
807|54|25317|14231|14224|14039|
808|46|14799|8254|8243|8064|
809|31|7446|4867|4863|4796|
810|15|9655|5469|5466|5383|
811|66|30964|17626|17616|17346|
