id,votes,percentage,sloped_percentage,abbreviation
1,7525,0.27890668579169653,0.27890668579169653,Slovenská ľudová strana (SĽS)
2,82399,3.0540374754219277,3.0540374754219277,DOBRÁ VOĽBA
3,169501,6.28238699646224,6.28238699646224,SaS
4,221373,8.204971395849201,8.204971395849201,SME RODINA
5,1858,0.06886493318285344,0.06886493318285344,Slovenské Hnutie Obrody
6,153069,5.673351161122818,5.673351161122818,ZA ĽUDÍ
7,8576,0.31786096177403184,0.31786096177403184,MÁME TOHO DOSŤ !
9,85591,3.1723457998135682,3.1723457998135682,SNS
10,3822,0.14165865157420124,0.14165865157420124,DS
11,671139,24.87510354758185,24.87510354758185,OĽANO-NOVA-KÚ-ZMENA ZDOLA
12,189026,7.006061819064616,7.006061819064616,Koalícia Progresívne Slovensko a SPOLU - občianska demokracia
13,1942,0.07197831014052819,0.07197831014052819,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
14,931,0.0345065946142285,0.0345065946142285,99 % - občiansky hlas
15,120560,4.468437214491288,4.468437214491288,KDH
16,769,0.02850222476728434,0.02850222476728434,Slovenská liga
17,79086,2.931244405650779,2.931244405650779,VLASŤ
18,58125,2.1543456626767257,2.1543456626767257,MOST - HÍD
19,495165,18.35280120532165,18.35280120532165,SMER - SD
20,2889,0.10707792893717093,0.10707792893717093,SOLIDARITA - Hnutie pracujúcej chudoby
21,1771,0.06564036419097602,0.06564036419097602,HLAS ĽUDU
22,112198,4.158507951157046,4.158507951157046,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť
23,1195,0.044291493624063434,0.044291493624063434,PSN
24,214684,7.9570502235886496,7.9570502235886496,ĽS Naše Slovensko
25,14841,0.5500669932006071,0.5500669932006071,Socialisti.sk
